,"(((B,N),L),K)","(((B,N),K),L)","(B,N),(L,K)","(((B,L),N),K)","(((B,L),K),N)","(B,L),(N,K)","(((B,K),N),L)","(((B,K),L),N)","(B,K),(N,L)","(((N,L),B),K)","(((N,L),K),B)","(((N,K),B),L)","(((N,K),L),B)","(((L,K),B),N)","(((L,K),N),B)",Non-monophyletic,Poor-resolution,name,disp,ne,time,int
archsim_m50_n50000_e800000_i100000_mak,3,0,25,1,0,0,0,0,0,0,0,0,0,0,0,2,19,archsim_m50_n50000_e800000_i100000_mak,50,50000,800000,100000
archsim_m0.0001_n50000_e200000_i25000_mak,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,archsim_m0.0001_n50000_e200000_i25000_mak,00001,50000,200000,25000
archsim_m50_n200000_e200000_i50000_mak,0,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,1,archsim_m50_n200000_e200000_i50000_mak,50,200000,200000,50000
archsim_m40_n200000_e200000_i400000_mak,32,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,4,archsim_m40_n200000_e200000_i400000_mak,40,200000,200000,400000
archsim_m40_n50000_e800000_i25000_mak,18,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m40_n50000_e800000_i25000_mak,40,50000,800000,25000
archsim_m30_n200000_e3200000_i200000_mak,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,9,archsim_m30_n200000_e3200000_i200000_mak,30,200000,3200000,200000
archsim_m15_n50000_e1600000_i100000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m15_n50000_e1600000_i100000_mak,15,50000,1600000,100000
archsim_m50_n50000_e800000_i25000_mak,15,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,3,archsim_m50_n50000_e800000_i25000_mak,50,50000,800000,25000
archsim_m30_n200000_e3200000_i50000_mak,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,9,archsim_m30_n200000_e3200000_i50000_mak,30,200000,3200000,50000
archsim_m50_n200000_e1600000_i25000_mak,33,0,2,12,0,0,0,0,0,0,0,0,0,0,0,1,2,archsim_m50_n200000_e1600000_i25000_mak,50,200000,1600000,25000
archsim_m30_n100000_e200000_i25000_mak,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,archsim_m30_n100000_e200000_i25000_mak,30,100000,200000,25000
archsim_m50_n200000_e800000_i25000_mak,7,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,6,archsim_m50_n200000_e800000_i25000_mak,50,200000,800000,25000
